timestamp,service,latency_ms
2026-05-01T00:00:01,checkout,45.2
2026-05-01T00:00:02,checkout,52.7
2026-05-01T00:00:03,checkout,61.3
2026-05-01T00:00:04,checkout,38.9
2026-05-01T00:00:05,checkout,210.4
2026-05-01T00:00:06,checkout,77.1
2026-05-01T00:00:07,checkout,55.0
2026-05-01T00:00:08,checkout,43.8
2026-05-01T00:00:09,checkout,180.2
2026-05-01T00:00:10,checkout,92.4
2026-05-01T00:00:11,checkout,66.5
2026-05-01T00:00:12,checkout,48.3
2026-05-01T00:00:13,checkout,310.8
2026-05-01T00:00:14,checkout,58.1
2026-05-01T00:00:15,checkout,71.6
2026-05-01T00:00:16,api-gateway,33.1
2026-05-01T00:00:17,api-gateway,29.4
2026-05-01T00:00:18,api-gateway,245.0
2026-05-01T00:00:19,api-gateway,41.7
2026-05-01T00:00:20,api-gateway,38.2
2026-05-01T00:00:21,api-gateway,55.9
2026-05-01T00:00:22,api-gateway,31.0
2026-05-01T00:00:23,api-gateway,28.5
2026-05-01T00:00:24,api-gateway,190.3
2026-05-01T00:00:25,api-gateway,44.6
2026-05-01T00:00:26,auth,120.5
2026-05-01T00:00:27,auth,98.2
2026-05-01T00:00:28,auth,135.7
2026-05-01T00:00:29,auth,89.3
2026-05-01T00:00:30,auth,450.1
2026-05-01T00:00:31,auth,111.4
2026-05-01T00:00:32,auth,102.8
2026-05-01T00:00:33,auth,93.6
2026-05-01T00:00:34,auth,128.9
2026-05-01T00:00:35,auth,107.2
